ID,RiskScore
0,32.91252939550855
1,56.63030862108782
2,30.366674344607013
3,33.33449313758339
4,34.981811670381354
5,73.00985972133874
6,30.36454339222024
7,29.846804996812097
8,31.371556804648286
9,61.976381435371266
10,51.952641206997896
11,28.493556331223765
12,49.77947027712047
13,36.74492227539563
14,51.354465223040556
15,62.26656414250625
16,26.221145724430556
17,29.818732539993647
18,66.4856024435594
19,57.40551556740471
20,75.52203830728864
21,31.05699522569015
22,65.4319888468384
23,35.958138424549915
24,55.22419090810517
25,29.738913543948442
26,32.88140509653051
27,29.75966494499672
28,55.04494367606648
29,74.51648225750955
30,31.406900766256534
31,63.80644463619531
32,32.11914090406502
33,29.51740374572843
34,38.57911755692571
35,36.15411111824134
36,67.57982603389343
37,56.406738894007766
38,46.14525126035236
39,69.93602932623018
40,64.23985189942763
41,57.59917604364357
42,75.21609451089832
43,27.440507962895374
44,46.330752652215864
45,28.956555673577768
46,35.22943486933041
47,70.14549423644036
48,29.8438620199488
49,34.343408211662904
50,61.67832920193973
51,58.66907247434082
52,52.258703426293636
53,35.8548771404806
54,30.878539613015413
55,33.36969618485656
56,74.23139821081679
57,37.77220355390678
58,41.575885373811126
59,58.252174325158606
60,72.92735470473838
61,50.40496106124763
62,27.42159023596863
63,79.68395855866106
64,29.133142608527415
65,32.25019944869122
66,56.98131805424532
67,63.21507916533316
68,37.42790127879143
69,64.28666172388563
70,38.55998252646513
71,41.162371616982384
72,48.828224288750064
73,63.846736341070596
74,56.12931055207207
75,61.194099766807554
76,65.98376011319964
77,25.88360710406993
78,49.064377067935084
79,60.86458844801292
80,67.85629935935302
81,62.543233621599065
82,57.82539869926362
83,35.89903547192909
84,68.68684746514229
85,70.40632415875929
86,58.336998232610156
87,26.37318154713489
88,55.19742924465574
89,74.68245911618361
90,33.097777064590304
91,59.11156981844201
92,34.02080027242682
93,29.274391005551273
94,38.11650793408525
95,36.884548950062545
96,34.36658573782592
97,64.15019969661955
98,32.48248027750452
99,63.55040908916173
100,33.39758863201135
101,32.48326004996438
102,70.6240625497179
103,73.85107544376724
104,29.34401630601485
105,85.43720082594227
106,68.76822126769181
107,69.43927192687546
108,35.54431927185247
109,74.08218223923534
110,48.63986082606925
111,64.27749880218303
112,78.76491243743298
113,68.57900111831046
114,64.27089682821631
115,34.0346300240314
116,71.80568373155245
117,56.403888358891635
118,38.23809620945717
119,46.02994417232566
120,30.78899851403056
121,72.9594813594367
122,30.05236515543112
123,57.65239041826547
124,32.672277746845914
125,65.93285386547913
126,22.291107389216798
127,27.367662243041643
128,33.667763358314694
129,76.06404550623834
130,29.50859873353216
131,65.24898121308443
132,71.32065160806985
133,79.63609068338218
134,28.58454785490477
135,35.29034732952932
136,24.86835850721004
137,33.573517978601444
138,35.28898135453552
139,40.90423347986039
140,48.968487062578745
141,50.28884404280141
142,25.78691996985225
143,26.25826454329229
144,67.18425429095285
145,30.207372215044977
146,54.461289950528084
147,71.78707630798199
148,70.06588795286157
149,70.16607097413831
150,38.35278569111136
151,31.313679407661276
152,71.91793824483582
153,45.053715950135214
154,60.36717914037304
155,36.63427618765773
156,66.4475431492222
157,68.19339312870098
158,62.072774044485904
159,66.49060085679913
160,49.54807586478942
161,33.03408423749753
162,65.640084370276
163,35.296545768597426
164,45.23971751989677
165,54.074348908669386
166,30.890665324627605
167,45.80876894001842
168,33.87701812314307
169,26.498367132614376
170,35.65971125838074
171,37.66721556246148
172,63.3367886771222
173,43.03548693146888
174,33.97286697134667
175,40.21356015466897
176,65.54950696460695
177,40.794981888944925
178,33.93102589628544
179,70.21237193565695
180,40.97441866243328
181,34.40191599436978
182,68.10062693061562
183,45.68299558575926
184,75.30649559285858
185,69.27506701169067
186,70.37097909382703
187,65.26308158995101
188,34.55657576061532
189,23.39870589389289
190,30.11939316193687
191,72.9344758418514
192,61.58230104457643
193,31.03960110029068
194,63.81954202990184
195,28.995927160456667
196,31.115435262654998
197,63.070619022721814
198,74.24510717281576
199,35.64008507881647
200,28.18053183802531
201,60.4586506938995
202,29.50025375001149
203,32.81554734010548
204,73.76758358052163
205,62.831731333700674
206,61.338567390334376
207,51.50490468558712
208,55.77151385823294
209,71.07681458945856
210,28.355047209598936
211,27.89884605624438
212,69.47020236694503
213,66.91667042105689
214,38.99504680155128
215,58.14368938787974
216,68.56029875817245
217,74.4865916891128
218,55.51163982034562
219,30.897070831114682
220,32.46505334740259
221,33.51958240938653
222,30.55926193094016
223,58.68296719057266
224,29.308201122087056
225,67.1105718824378
226,55.93982374646501
227,31.372747362660327
228,35.39357404809363
229,37.36446561034983
230,42.65740715500509
231,53.7745137477817
232,54.08450459227864
233,59.48272512265948
234,68.69402402236572
235,40.59104294002846
236,29.203229613495367
237,53.45147256628684
238,63.996159584491416
239,28.702980899139938
240,63.41540272570003
241,67.58117558465477
242,48.67065221582901
243,66.6121044036315
244,65.03707200454488
245,68.35919295974492
246,24.656284013957453
247,41.4032850808082
248,77.29336133543352
249,24.7264488047285
250,62.35117307961539
251,31.567861000978333
252,50.338093740762986
253,40.54680422569863
254,53.54288869719063
255,35.177223813954235
256,55.893791676673175
257,65.75187081329437
258,63.810781997654814
259,34.971697783662336
260,50.560511698097656
261,48.39081524502804
262,27.46610569806529
263,76.75106413609684
264,59.64902213277891
265,24.438490175633014
266,43.53656921116398
267,21.855310211267557
268,65.91486344390962
269,78.51016872296843
270,69.78319256096565
271,71.22404633836591
272,31.905543675051057
273,48.26682092664048
274,28.041063981990575
275,38.81906982115037
276,65.78635595788313
277,32.20902843140848
278,62.510429505563536
279,26.056262083991392
280,61.472796589508484
281,59.58798076752268
282,63.006055922956456
283,57.43484836520758
284,34.983905245223504
285,31.335481021111832
